"id","product","review","category"
"796","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"797","Compost Manure","Terrible quality manure","waste of money."""""
"798","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"799","Sprinkler System","Average system","water pressure could be better."""""
"800","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"801","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"802","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"803","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"804","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"805","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"806","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"807","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"808","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"809","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"810","Compost Manure","Terrible quality manure","waste of money."""""
"811","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"812","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"813","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"814","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"815","Sprinkler System","Average system","water pressure could be better."""""
"816","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"817","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"818","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"819","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"820","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"821","Compost Manure","Terrible quality manure","waste of money."""""
"822","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"823","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"824","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"825","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"826","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"827","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"828","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"829","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"830","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"831","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"832","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"833","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"834","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"835","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"836","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"837","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"838","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"839","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"840","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"841","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"842","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"843","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"844","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"845","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"846","Sprinkler System","Average system","water pressure could be better."""""
"847","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"848","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"849","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"850","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"851","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"852","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"853","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"854","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"855","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"856","Sprinkler System","Average system","water pressure could be better."""""
"857","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"858","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"859","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"860","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"861","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"862","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"863","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"864","Sprinkler System","Average system","water pressure could be better."""""
"865","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"866","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"867","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"868","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"869","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"870","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"871","Compost Manure","Terrible quality manure","waste of money."""""
"872","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"873","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"874","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"875","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"876","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"877","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"878","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"879","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"880","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"881","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"882","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"883","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"884","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"885","Compost Manure","Terrible quality manure","waste of money."""""
"886","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"887","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"888","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"889","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"890","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"891","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"892","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"893","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"894","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"895","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"896","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"897","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"898","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"899","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"900","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"901","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"902","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"903","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"904","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"905","Compost Manure","Terrible quality manure","waste of money."""""
"906","Compost Manure","Terrible quality manure","waste of money."""""
"907","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"908","Compost Manure","Terrible quality manure","waste of money."""""
"909","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"910","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"911","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"912","Compost Manure","Terrible quality manure","waste of money."""""
"913","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"914","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"915","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"916","Compost Manure","Terrible quality manure","waste of money."""""
"917","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"918","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"919","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"920","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"921","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"922","Compost Manure","Terrible quality manure","waste of money."""""
"923","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"924","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"925","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"926","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"927","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"928","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"929","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"930","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"931","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"932","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"933","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"934","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"935","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"936","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"937","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"938","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"939","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"940","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"941","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"942","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"943","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"944","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"945","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"946","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"947","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"948","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"949","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"950","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"951","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"952","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"953","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"954","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"955","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"956","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"957","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"958","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"959","Compost Manure","Terrible quality manure","waste of money."""""
"960","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"961","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"962","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"963","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"964","Compost Manure","Terrible quality manure","waste of money."""""
"965","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"966","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"967","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"968","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"969","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"970","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"971","Compost Manure","Terrible quality manure","waste of money."""""
"972","Compost Manure","Terrible quality manure","waste of money."""""
"973","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"974","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"975","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"976","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"977","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"978","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"979","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"980","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"981","Sprinkler System","Average system","water pressure could be better."""""
"982","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"983","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"984","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"985","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"986","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"987","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"988","Compost Manure","Terrible quality manure","waste of money."""""
"989","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"990","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"991","Sprinkler System","Average system","water pressure could be better."""""
"992","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"993","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"994","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"995","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"996","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"997","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"998","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"999","Sprinkler System","Average system","water pressure could be better."""""
"1000","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
